Date,Open,High,Low,Close,Adjusted_close,Volume
2020-11-19,82.39,85.64,81.72,85.54,85.54,50116759
2020-11-20,85.28,86.1,84.47,84.64,84.64,35008427
2020-11-23,85.52,87.54,84.615,85.31,85.31,46504964
2020-11-24,85.7235,86.11,83.32,85.07,85.07,36839174
2020-11-25,85.76,87.84,85.52,86.71,86.71,41349727
2020-11-27,87.99,88,86.3598,87.19,87.19,22717638
2020-11-30,87.33,92.74,86.53,92.66,92.66,84482979
2020-12-01,92.25,93.9,90.78,92.63,92.63,58670527
2020-12-02,92.89,96.37,92.5253,93.74,93.74,57988822
2020-12-03,94.06,94.7,92.01,92.31,92.31,35859716
2020-12-04,92.58,94.58,90.63,94.04,94.04,45570273
2020-12-07,94.95,95,92.97,94.07,94.07,39815654
2020-12-08,94.05,94.74,91.9,92.92,92.92,33907510
2020-12-09,92.76,94.7,89.16,89.83,89.83,52170379
2020-12-10,89.55,92.09,89.0297,91.66,91.66,33804412
2020-12-11,91.54,92.33,90.16,91.65,91.65,28368145
2020-12-14,92.205,95.41,91.85,94.78,94.78,48026426
2020-12-15,95.93,97.98,95.45,97.12,97.12,57305100
2020-12-16,97.04,97.27,95.46,96.85,96.85,34909037
2020-12-17,97.55,97.92,96.25,96.84,96.84,32023734
2020-12-18,97.27,97.68,93.56,95.92,95.92,51823103
2020-12-21,94.25,95.28,91.08,93.23,93.23,47093891
2020-12-22,93.36,93.55,90.53,93.16,93.16,35717836
2020-12-23,93.08,93.13,91.46,91.55,91.55,25993348
2020-12-24,91.8,92.51,91.31,91.81,91.81,16705909
2020-12-28,92.93,93.14,90.82,91.6,91.6,30627297
2020-12-29,91.66,92.46,89.4301,90.62,90.62,31748211
2020-12-30,90.78,92.85,90.19,92.29,92.29,25844973
2020-12-31,92.1,92.3,90.87,91.71,91.71,24930684
2021-01-04,92.11,96.06,90.915,92.3,92.3,51802552
2021-01-05,92.1,93.2077,91.41,92.77,92.77,34207989
2021-01-06,91.62,92.28,89.46,90.33,90.33,51911657
2021-01-07,91.33,95.51,91.2,95.16,95.16,42897157
2021-01-08,95.98,96.4,93.27,94.58,94.58,39816400
2021-01-11,94.025,99.23,93.76,97.25,97.25,48669103
2021-01-12,97.86,98.97,94.07,95.355,95.355,67672311
2021-01-13,93.01,93.89,90.84,91.78,91.78,60712896
2021-01-14,91.77,92.36,90.45,90.79,90.79,53408241
2021-01-15,90.75,91.59,87.86,88.21,88.21,49340338
2021-01-19,89.56,89.58,87.24,89.45,89.45,45115055
2021-01-20,90.55,90.78,88.6,88.75,88.75,35185810
2021-01-21,89.34,92.07,88.43,91.53,91.53,54596079
2021-01-22,94.42,95.95,91.88,92.79,92.79,71294707
2021-01-25,94.14,95.74,91.4,94.13,94.13,55086943
2021-01-26,94.91,95.7171,93.63,94.71,94.71,59449053
2021-01-27,91.1,91.88,86.22,88.84,88.84,73341193
2021-01-28,89.83,89.88,87.3,87.52,87.52,47048362
2021-01-29,87.56,88.33,85.02,85.64,85.64,56735828
2021-02-01,86.83,87.95,84.66,87.66,87.66,42359344
2021-02-02,88.49,89.28,86.95,88.86,88.86,33850049
2021-02-03,88.6,89.48,87.34,87.89,87.89,32312885
2021-02-04,88.22,88.6,87.06,87.84,87.84,30791641
2021-02-05,88.15,88.36,86.875,87.9,87.9,30268677
2021-02-08,88.31,91.99,87.98,91.47,91.47,47639887
2021-02-09,91.39,93.3,90.55,90.91,90.91,37596446
2021-02-10,91.5,93.27,90.46,92.35,92.35,42441300
