FB  
date:2021-9-30
PR:329.1 
DF:339.4$->354.2$(14.8$)/(338.1$-342.8$)     
4.4%  
GOOG
date:2021-9-30
PR:325.3 
DF:2665.3$->2694.6$(29.3$)/(2660.0$-2711.6$) 
1.1%  
MSFT
date:2021-9-30
PR:255.2 
DF:281.9$->281.9$(0.0$)/(281.6$-287.8$)      
0.0%  
AMZN
date:2021-9-30
PR:206.8 
DF:3285.0$->3262.9$(-22.1$)/(3274.1$-3327.9$)
-0.7% 
SE  
date:2021-9-30
PR:1088.1
DF:318.7$->330.7$(12.0$)/(314.7$-324.9$)     
3.8%  
MELI
date:2021-9-30
PR:598.8 
DF:1679.4$->1669.5$(-9.9$)/(1641.0$-1696.6$) 
-0.6% 
FTNT
date:2021-9-30
PR:541.2 
DF:292.0$->296.9$(4.8$)/(288.4$-295.1$)      
1.7%  
MA  
date:2021-9-30
PR:317.4 
DF:347.7$->342.6$(-5.1$)/(347.4$-356.0$)     
-1.5% 
DIA 
date:2021-9-30
PR:168.9 
DF:338.3$->342.7$(4.5$)/(338.1$-345.4$)      
1.3%  
REGN
date:2021-9-30
PR:331.4 
DF:605.2$->608.1$(2.9$)/(604.6$-613.6$)      
0.5%  
AMD 
date:2021-9-30
PR:568.7 
DF:102.9$->103.3$(0.4$)/(102.0$-104.4$)      
0.4%  
BABA
date:2021-9-30
PR:327.1 
DF:148.1$->150.8$(2.8$)/(146.9$-149.6$)      
1.9%  
