Date,Open,High,Low,Close,Adjusted_close,Volume
2021-10-01|04:00:00,143.73,144.18,143.49,144.09,144.09,1841271.00
2021-10-01|05:00:00,144.09,144.44,143.83,143.93,143.93,1398419.00
2021-10-01|06:00:00,143.92,144.18,143.76,144.14,144.14,1502606.00
2021-10-01|07:00:00,144.13,144.60,143.77,144.26,144.26,4689570.00
2021-10-01|08:00:00,144.19,144.43,144.03,144.06,144.06,1196283.00
2021-10-01|09:00:00,144.06,144.18,144.02,144.18,144.18,22422.00
2021-10-01|10:00:00,144.14,144.18,144.03,144.10,144.10,14914.00
2021-10-01|11:00:00,144.10,144.10,143.90,143.97,143.97,18245.00
2021-10-04|08:00:00,140.89,143.59,140.89,141.24,141.24,86457.00
2021-10-04|09:00:00,141.29,141.43,141.20,141.21,141.21,17411.00
2021-10-04|10:00:00,141.32,141.47,141.20,141.45,141.45,17934.00
2021-10-04|11:00:00,141.46,141.60,141.00,141.10,141.10,87187.00
2021-10-04|12:00:00,141.10,143.84,140.90,141.50,141.50,178670.00
2021-10-04|01:00:00,141.40,141.90,139.44,140.40,140.40,4659150.00
2021-10-04|02:00:00,140.40,140.42,138.43,139.43,139.43,5020930.00
2021-10-04|03:00:00,139.42,139.69,138.57,138.92,138.92,3094650.00
2021-10-04|04:00:00,138.90,140.75,138.82,140.50,140.50,2926599.00
2021-10-04|05:00:00,140.48,141.31,140.25,140.73,140.73,2036334.00
2021-10-04|06:00:00,140.74,141.20,140.52,140.60,140.60,1510163.00
2021-10-04|07:00:00,140.62,141.10,139.42,139.62,139.62,3518801.00
2021-10-04|08:00:00,139.70,139.83,138.93,139.81,139.81,603770.00
2021-10-04|09:00:00,139.78,139.78,139.60,139.76,139.76,24591.00
2021-10-04|10:00:00,139.76,139.80,139.60,139.75,139.75,16509.00
2021-10-04|11:00:00,139.76,139.80,139.49,139.49,139.49,27462.00
2021-10-05|08:00:00,139.53,139.76,139.35,139.76,139.76,54453.00
2021-10-05|09:00:00,139.76,139.95,139.76,139.82,139.82,9012.00
2021-10-05|10:00:00,139.81,139.81,139.53,139.53,139.53,6452.00
2021-10-05|11:00:00,139.58,139.73,139.29,139.63,139.63,46914.00
2021-10-05|12:00:00,139.65,139.65,139.25,139.45,139.45,54627.00
2021-10-05|01:00:00,139.46,142.15,139.19,142.08,142.08,2990597.00
2021-10-05|02:00:00,142.08,142.62,141.82,142.44,142.44,2630181.00
2021-10-05|03:00:00,142.45,143.45,142.36,142.82,142.82,1953316.00
2021-10-05|04:00:00,142.83,143.07,142.50,143.02,143.02,899168.00
2021-10-05|05:00:00,143.03,143.51,142.62,143.50,143.50,1136726.00
2021-10-05|06:00:00,143.49,143.83,143.16,143.24,143.24,1243637.00
2021-10-05|07:00:00,143.23,143.58,142.93,143.14,143.14,2000337.00
2021-10-05|08:00:00,143.18,143.18,142.94,143.08,143.08,662575.00
2021-10-05|09:00:00,143.01,143.15,143.01,143.15,143.15,24188.00
2021-10-05|10:00:00,143.14,143.30,143.14,143.27,143.27,8082.00
2021-10-05|11:00:00,143.30,143.30,143.00,143.17,143.17,11966.00
2021-10-06|08:00:00,141.41,141.65,140.80,141.15,141.15,52239.00
2021-10-06|09:00:00,141.18,141.22,140.54,140.78,140.78,26451.00
2021-10-06|10:00:00,140.78,141.00,140.78,140.80,140.80,5379.00
2021-10-06|11:00:00,140.89,141.36,140.71,141.25,141.25,53943.00
2021-10-06|12:00:00,141.35,142.78,141.07,141.22,141.22,82994.00
2021-10-06|01:00:00,141.33,143.47,139.96,142.13,142.13,2641906.00
2021-10-06|02:00:00,142.09,144.89,141.21,144.12,144.12,3825571.00
2021-10-06|03:00:00,144.14,144.63,143.56,144.56,144.56,1670462.00
2021-10-06|04:00:00,144.57,144.64,143.40,143.75,143.75,1068950.00
2021-10-06|05:00:00,143.76,144.33,143.41,143.96,143.96,941530.00
2021-10-06|06:00:00,143.96,144.71,143.80,144.29,144.29,1070200.00
2021-10-06|07:00:00,144.27,144.67,143.60,144.08,144.08,2149917.00
2021-10-06|08:00:00,144.20,144.28,144.00,144.10,144.10,1093499.00
2021-10-06|09:00:00,144.20,144.63,144.10,144.27,144.27,51037.00
2021-10-06|10:00:00,144.37,144.95,144.10,144.90,144.90,18494.00
2021-10-06|11:00:00,144.95,145.18,144.10,145.18,145.18,33366.00
2021-10-07|08:00:00,151.00,151.60,150.40,151.43,151.43,191174.00
2021-10-07|09:00:00,151.40,151.99,151.33,151.99,151.99,69293.00
2021-10-07|10:00:00,151.79,151.87,150.85,151.14,151.14,82380.00
2021-10-07|11:00:00,150.93,151.60,150.83,151.14,151.14,192031.00
2021-10-07|12:00:00,151.14,151.56,150.75,151.25,151.25,246582.00
2021-10-07|01:00:00,151.16,154.08,150.75,153.71,153.71,7957682.00
2021-10-07|02:00:00,153.69,157.34,153.35,157.14,157.14,11203705.00
2021-10-07|03:00:00,157.15,158.29,156.82,157.54,157.54,7887680.00
2021-10-07|04:00:00,157.55,158.24,156.28,156.52,156.52,5014554.00
2021-10-07|05:00:00,156.50,157.17,156.15,156.23,156.23,3456360.00
2021-10-07|06:00:00,156.20,157.06,155.55,155.75,155.75,2891600.00
2021-10-07|07:00:00,155.76,156.25,155.40,156.00,156.00,4960557.00
2021-10-07|08:00:00,156.09,156.43,156.00,156.20,156.20,1678918.00
2021-10-07|09:00:00,156.25,156.55,156.15,156.35,156.35,48224.00
2021-10-07|10:00:00,156.49,156.62,156.00,156.52,156.52,20611.00
2021-10-07|11:00:00,156.70,157.40,156.52,157.40,157.40,42802.00
2021-10-08|08:00:00,158.49,160.44,158.49,160.11,160.11,247873.00
2021-10-08|09:00:00,160.07,160.20,159.63,160.11,160.11,102502.00
2021-10-08|10:00:00,160.16,160.85,160.02,160.12,160.12,100240.00
2021-10-08|11:00:00,160.21,160.44,159.45,160.00,160.00,162005.00
2021-10-08|12:00:00,160.02,160.80,159.56,160.15,160.15,367007.00
2021-10-08|01:00:00,160.18,160.80,157.91,160.11,160.11,6987845.00
2021-10-08|02:00:00,160.15,162.00,159.77,160.99,160.99,7332679.00
2021-10-08|03:00:00,161.00,161.22,160.20,160.97,160.97,3453637.00
2021-10-08|04:00:00,160.97,162.40,160.66,162.27,162.27,3712483.00
2021-10-08|05:00:00,162.29,162.78,161.58,162.20,162.20,3584797.00
2021-10-08|06:00:00,162.20,162.24,161.45,161.61,161.61,2201571.00
2021-10-08|07:00:00,161.61,162.36,161.54,161.55,161.55,4203099.00
2021-10-08|08:00:00,161.67,161.97,161.52,161.80,161.80,939007.00
2021-10-08|09:00:00,161.82,162.30,161.81,162.11,162.11,32047.00
2021-10-08|10:00:00,162.25,162.25,161.94,162.06,162.06,25368.00
2021-10-08|11:00:00,162.01,162.12,161.52,162.10,162.10,46648.00
2021-10-11|08:00:00,171.79,172.19,169.22,170.52,170.52,418856.00
2021-10-11|09:00:00,170.50,170.90,170.12,170.61,170.61,105460.00
2021-10-11|10:00:00,170.73,170.81,169.41,169.60,169.60,166247.00
2021-10-11|11:00:00,169.65,169.98,168.50,169.60,169.60,374540.00
2021-10-11|12:00:00,169.69,170.73,169.48,170.23,170.23,464042.00
2021-10-11|01:00:00,170.30,170.73,166.65,166.80,166.80,10394025.00
2021-10-11|02:00:00,166.78,167.43,165.12,165.85,165.85,9120003.00
2021-10-11|03:00:00,165.85,166.94,165.63,166.90,166.90,4666752.00
2021-10-11|04:00:00,166.90,167.00,165.76,165.92,165.92,2708314.00
2021-10-11|05:00:00,165.94,165.97,164.08,165.09,165.09,4366042.00
2021-10-11|06:00:00,165.09,165.65,164.68,165.57,165.57,2737770.00
2021-10-11|07:00:00,165.56,165.93,163.97,163.99,163.99,4217305.00
2021-10-11|08:00:00,164.15,164.15,162.16,163.63,163.63,2093408.00
2021-10-11|09:00:00,163.62,163.77,163.54,163.70,163.70,27603.00
2021-10-11|10:00:00,163.70,163.75,163.36,163.75,163.75,40232.00
2021-10-11|11:00:00,163.75,164.34,163.74,164.34,164.34,46997.00
2021-10-12|08:00:00,164.50,165.58,164.50,165.30,165.30,126985.00
2021-10-12|09:00:00,165.30,165.90,165.30,165.45,165.45,37188.00
2021-10-12|10:00:00,165.45,165.64,165.13,165.55,165.55,18440.00
2021-10-12|11:00:00,165.51,165.61,164.81,165.00,165.00,71071.00
2021-10-12|12:00:00,164.95,165.35,164.61,164.80,164.80,131253.00
2021-10-12|01:00:00,164.80,165.56,162.73,164.73,164.73,5058268.00
2021-10-12|02:00:00,164.73,165.73,163.16,163.23,163.23,3802343.00
2021-10-12|03:00:00,163.25,163.64,162.70,163.06,163.06,3477875.00
2021-10-12|04:00:00,163.07,164.93,162.50,162.90,162.90,3599989.00
2021-10-12|05:00:00,162.89,163.05,162.24,162.89,162.89,1261610.00
2021-10-12|06:00:00,162.87,163.10,162.56,162.96,162.96,1309129.00
2021-10-12|07:00:00,162.96,163.13,162.36,162.98,162.98,2791608.00
2021-10-12|08:00:00,163.00,163.10,162.81,162.89,162.89,642214.00
2021-10-12|09:00:00,162.83,163.00,162.69,162.93,162.93,19322.00
2021-10-12|10:00:00,162.87,163.00,162.78,162.81,162.81,8698.00
2021-10-12|11:00:00,162.85,163.00,162.75,162.81,162.81,21349.00
2021-10-13|08:00:00,163.60,164.38,163.60,164.02,164.02,32082.00
2021-10-13|09:00:00,164.04,164.55,164.00,164.20,164.20,33113.00
2021-10-13|10:00:00,164.28,164.42,164.10,164.12,164.12,13310.00
2021-10-13|11:00:00,164.12,164.20,163.61,163.87,163.87,27237.00
2021-10-13|12:00:00,163.87,164.00,163.30,163.38,163.38,81567.00
2021-10-13|01:00:00,163.38,164.98,163.38,164.45,164.45,2448195.00
2021-10-13|02:00:00,164.51,166.70,164.50,166.54,166.54,3063516.00
2021-10-13|03:00:00,166.50,167.43,166.21,166.97,166.97,2903338.00
2021-10-13|04:00:00,166.99,167.40,166.63,167.08,167.08,1441920.00
2021-10-13|05:00:00,167.08,167.58,166.82,167.46,167.46,1195052.00
2021-10-13|06:00:00,167.47,168.08,167.21,168.04,168.04,2019495.00
2021-10-13|07:00:00,168.04,168.27,167.32,167.33,167.33,3675092.00
2021-10-13|08:00:00,167.77,167.84,167.39,167.56,167.56,1486093.00
2021-10-13|09:00:00,167.77,168.38,167.60,168.30,168.30,58613.00
2021-10-13|10:00:00,168.25,168.68,167.40,168.50,168.50,25629.00
2021-10-13|11:00:00,168.61,169.27,168.50,169.25,169.25,39059.00
2021-10-14|08:00:00,169.54,169.55,168.50,168.50,168.50,26463.00
2021-10-14|09:00:00,168.19,168.43,166.34,166.60,166.60,38643.00
2021-10-14|10:00:00,166.49,167.40,165.20,166.00,166.00,85002.00
2021-10-14|11:00:00,166.00,166.92,165.79,166.85,166.85,90465.00
2021-10-14|12:00:00,166.96,168.45,166.80,168.21,168.21,125825.00
2021-10-14|01:00:00,168.30,168.99,164.87,165.37,165.37,3625694.00
2021-10-14|02:00:00,165.38,165.52,164.46,164.95,164.95,2569172.00
2021-10-14|03:00:00,164.97,166.05,164.57,166.02,166.02,1682656.00
2021-10-14|04:00:00,166.02,166.42,165.82,166.33,166.33,1197814.00
2021-10-14|05:00:00,166.33,166.94,166.08,166.90,166.90,1003908.00
2021-10-14|06:00:00,166.89,167.20,166.60,166.81,166.81,1247866.00
2021-10-14|07:00:00,166.80,166.95,166.27,166.77,166.77,1889061.00
2021-10-14|08:00:00,167.16,167.50,166.32,167.30,167.30,3752763.00
2021-10-14|09:00:00,167.31,167.48,167.00,167.08,167.08,20425.00
2021-10-14|10:00:00,167.25,167.42,166.78,167.40,167.40,11758.00
2021-10-14|11:00:00,167.40,167.40,166.78,167.00,167.00,19683.00
2021-10-15|08:00:00,167.00,167.05,165.50,166.78,166.78,34565.00
2021-10-15|09:00:00,166.73,166.75,166.28,166.70,166.70,11725.00
2021-10-15|10:00:00,166.81,167.08,166.27,166.37,166.37,25169.00
2021-10-15|11:00:00,166.36,166.62,165.88,165.90,165.90,58710.00
2021-10-15|12:00:00,165.91,166.68,165.91,166.68,166.68,68181.00
2021-10-15|01:00:00,166.59,168.48,165.44,167.94,167.94,2792265.00
2021-10-15|02:00:00,167.94,169.80,167.58,169.45,169.45,3617736.00
2021-10-15|03:00:00,169.43,169.70,167.62,167.77,167.77,2353143.00
2021-10-15|04:00:00,167.76,167.79,166.43,166.95,166.95,1838706.00
2021-10-15|05:00:00,166.95,167.05,166.18,166.35,166.35,1150477.00
2021-10-15|06:00:00,166.36,167.24,166.16,167.21,167.21,1214200.00
2021-10-15|07:00:00,167.20,168.06,166.93,167.93,167.93,3272411.00
2021-10-15|08:00:00,167.96,168.19,167.90,167.99,167.99,3891070.00
2021-10-15|09:00:00,167.93,168.00,167.68,167.75,167.75,246207.00
2021-10-15|10:00:00,167.75,167.86,167.65,167.85,167.85,8954.00
2021-10-15|11:00:00,167.92,168.00,167.70,167.70,167.70,6186.00
2021-10-18|08:00:00,166.36,167.46,166.36,167.04,167.04,34437.00
2021-10-18|09:00:00,167.24,167.27,166.82,166.90,166.90,22263.00
2021-10-18|10:00:00,166.90,167.40,166.56,167.40,167.40,23013.00
2021-10-18|11:00:00,167.02,167.40,166.88,167.11,167.11,31053.00
2021-10-18|12:00:00,167.11,167.48,166.32,166.60,166.60,92655.00
2021-10-18|01:00:00,166.59,168.97,166.13,167.79,167.79,2229143.00
2021-10-18|02:00:00,167.82,168.58,167.28,168.50,168.50,2151102.00
2021-10-18|03:00:00,168.51,169.25,167.90,168.51,168.51,3555625.00
2021-10-18|04:00:00,168.50,168.70,168.17,168.37,168.37,1204187.00
2021-10-18|05:00:00,168.36,168.38,167.45,167.78,167.78,1040080.00
2021-10-18|06:00:00,167.79,168.00,167.45,167.81,167.81,926480.00
2021-10-18|07:00:00,167.81,167.94,166.78,166.88,166.88,2382693.00
2021-10-18|08:00:00,166.77,167.08,166.66,166.95,166.95,4969858.00
2021-10-18|09:00:00,166.82,166.94,166.72,166.81,166.81,159972.00
2021-10-18|10:00:00,166.80,166.92,166.80,166.91,166.91,13334.00
2021-10-18|11:00:00,166.90,167.10,166.82,167.05,167.05,19855.00
2021-10-19|08:00:00,169.10,169.47,168.98,169.40,169.40,23698.00
2021-10-19|09:00:00,169.36,169.75,169.34,169.63,169.63,30692.00
2021-10-19|10:00:00,169.55,169.90,169.50,169.77,169.77,23448.00
2021-10-19|11:00:00,169.76,170.55,169.51,170.55,170.55,154259.00
2021-10-19|12:00:00,170.40,171.50,170.34,170.40,170.40,205419.00
2021-10-19|01:00:00,170.34,173.30,170.33,172.78,172.78,5795441.00
2021-10-19|02:00:00,172.82,173.46,171.78,173.02,173.02,5183264.00
2021-10-19|03:00:00,173.03,174.04,172.79,173.69,173.69,3510508.00
2021-10-19|04:00:00,173.68,174.55,173.41,174.37,174.37,2273151.00
2021-10-19|05:00:00,174.36,175.84,173.63,175.83,175.83,3377088.00
2021-10-19|06:00:00,175.82,176.53,175.29,176.46,176.46,4695085.00
2021-10-19|07:00:00,176.46,177.44,175.67,177.01,177.01,6882239.00
2021-10-19|08:00:00,177.13,177.18,176.93,176.93,176.93,1205944.00
2021-10-19|09:00:00,176.98,176.98,176.56,176.87,176.87,38227.00
2021-10-19|10:00:00,176.89,176.89,176.62,176.78,176.78,19654.00
2021-10-19|11:00:00,176.83,176.89,176.65,176.85,176.85,33343.00
2021-10-20|08:00:00,179.60,180.94,179.50,180.37,180.37,153711.00
2021-10-20|09:00:00,180.40,180.78,180.30,180.77,180.77,40426.00
2021-10-20|10:00:00,180.73,180.77,180.29,180.64,180.64,41436.00
2021-10-20|11:00:00,180.62,181.30,180.50,181.20,181.20,220487.00
2021-10-20|12:00:00,181.15,182.39,181.00,182.25,182.25,404110.00
2021-10-20|01:00:00,182.25,182.45,176.91,177.06,177.06,9106271.00
2021-10-20|02:00:00,177.08,179.68,176.30,178.20,178.20,7827281.00
2021-10-20|03:00:00,178.20,178.67,177.16,178.00,178.00,3276982.00
2021-10-20|04:00:00,178.02,178.58,177.53,178.02,178.02,1878327.00
2021-10-20|05:00:00,178.01,178.06,176.13,177.43,177.43,2676175.00
2021-10-20|06:00:00,177.43,177.76,176.98,177.74,177.74,1437449.00
2021-10-20|07:00:00,177.73,178.07,177.09,177.27,177.27,2893641.00
2021-10-20|08:00:00,177.18,177.44,176.94,177.09,177.09,3600871.00
2021-10-20|09:00:00,177.10,177.11,176.96,177.00,177.00,8345.00
2021-10-20|10:00:00,177.07,177.25,177.00,177.15,177.15,14639.00
2021-10-20|11:00:00,177.18,177.30,176.50,176.59,176.59,31068.00
2021-10-21|08:00:00,178.68,178.80,177.86,178.10,178.10,129320.00
2021-10-21|09:00:00,178.10,178.10,177.80,177.95,177.95,21471.00
2021-10-21|10:00:00,178.03,178.38,177.76,177.76,177.76,45101.00
2021-10-21|11:00:00,177.76,177.82,177.25,177.26,177.26,59046.00
2021-10-21|12:00:00,177.23,177.49,176.90,176.93,176.93,66356.00
2021-10-21|01:00:00,176.92,179.78,176.72,178.15,178.15,3347690.00
2021-10-21|02:00:00,178.17,179.18,177.81,178.21,178.21,2321138.00
2021-10-21|03:00:00,178.22,178.24,176.71,177.01,177.01,2019546.00
2021-10-21|04:00:00,177.00,178.14,176.92,178.14,178.14,1249896.00
2021-10-21|05:00:00,178.13,178.16,176.89,177.38,177.38,969941.00
2021-10-21|06:00:00,177.40,177.43,176.89,177.37,177.37,817763.00
2021-10-21|07:00:00,177.38,177.63,176.97,177.49,177.49,1730625.00
2021-10-21|08:00:00,177.50,177.61,177.00,177.00,177.00,3546657.00
2021-10-21|09:00:00,176.96,177.00,176.70,176.90,176.90,18631.00
2021-10-21|10:00:00,176.90,177.00,176.72,176.75,176.75,21837.00
2021-10-21|11:00:00,176.80,176.80,176.50,176.73,176.73,18531.00
2021-10-22|08:00:00,178.70,179.70,178.70,179.22,179.22,62653.00
2021-10-22|09:00:00,179.34,179.41,179.10,179.11,179.11,18414.00
2021-10-22|10:00:00,179.24,179.50,179.24,179.38,179.38,4075.00
2021-10-22|11:00:00,179.35,179.50,179.05,179.18,179.18,42129.00
2021-10-22|12:00:00,179.11,179.27,178.90,178.90,178.90,80377.00
2021-10-22|01:00:00,178.92,180.50,178.50,180.21,180.21,2382133.00
2021-10-22|02:00:00,180.21,182.09,179.78,179.89,179.89,3603118.00
2021-10-22|03:00:00,179.89,180.09,176.41,176.87,176.87,2907133.00
2021-10-22|04:00:00,176.85,178.24,176.55,177.59,177.59,1785891.00
2021-10-22|05:00:00,177.57,177.57,176.08,176.10,176.10,1100301.00
2021-10-22|06:00:00,176.10,176.97,175.81,176.48,176.48,1095295.00
2021-10-22|07:00:00,176.48,177.84,176.42,177.80,177.80,2911061.00
2021-10-22|08:00:00,177.65,177.99,177.45,177.47,177.47,4695361.00
2021-10-22|09:00:00,177.45,177.65,177.45,177.60,177.60,11597.00
2021-10-22|10:00:00,177.55,177.68,177.51,177.65,177.65,13316.00
2021-10-22|11:00:00,177.56,177.60,177.40,177.41,177.41,5609.00
2021-10-25|08:00:00,178.56,179.00,178.22,178.80,178.80,15165.00
2021-10-25|09:00:00,178.90,179.48,178.90,179.15,179.15,11501.00
2021-10-25|10:00:00,179.00,179.06,178.84,179.06,179.06,5030.00
2021-10-25|11:00:00,178.90,179.00,177.45,177.50,177.50,83074.00
2021-10-25|12:00:00,177.59,177.75,177.41,177.51,177.51,40576.00
2021-10-25|01:00:00,177.53,178.28,173.83,174.80,174.80,3177030.00
2021-10-25|02:00:00,174.81,175.54,174.10,175.17,175.17,2234149.00
2021-10-25|03:00:00,175.17,175.75,174.75,175.05,175.05,1664918.00
2021-10-25|04:00:00,175.05,176.37,175.05,176.35,176.35,938947.00
2021-10-25|05:00:00,176.35,176.40,175.79,175.87,175.87,721109.00
2021-10-25|06:00:00,175.89,176.19,175.55,175.96,175.96,977872.00
2021-10-25|07:00:00,175.98,176.23,175.70,176.20,176.20,1529151.00
2021-10-25|08:00:00,176.10,176.50,176.10,176.22,176.22,1650159.00
2021-10-25|09:00:00,176.18,176.28,176.02,176.28,176.28,11853.00
2021-10-25|10:00:00,176.30,176.40,176.20,176.22,176.22,6156.00
2021-10-25|11:00:00,176.27,176.89,176.17,176.72,176.72,14179.00
2021-10-26|08:00:00,175.00,175.00,174.00,174.33,174.33,25129.00
2021-10-26|09:00:00,174.44,174.59,174.30,174.59,174.59,8807.00
2021-10-26|10:00:00,174.58,175.00,174.58,175.00,175.00,4387.00
2021-10-26|11:00:00,175.00,175.52,174.81,175.08,175.08,23208.00
2021-10-26|12:00:00,175.15,175.15,174.47,174.80,174.80,67035.00
2021-10-26|01:00:00,174.75,174.90,172.16,172.31,172.31,2502795.00
2021-10-26|02:00:00,172.29,173.43,171.57,171.87,171.87,2706310.00
2021-10-26|03:00:00,171.89,171.94,169.03,169.05,169.05,3524359.00
2021-10-26|04:00:00,169.04,169.80,167.48,169.08,169.08,2598907.00
2021-10-26|05:00:00,169.06,170.06,168.72,169.53,169.53,1472211.00
2021-10-26|06:00:00,169.52,170.60,169.43,170.49,170.49,1118404.00
2021-10-26|07:00:00,170.49,170.56,169.83,170.01,170.01,2373106.00
2021-10-26|08:00:00,170.03,170.14,169.80,169.90,169.90,1037625.00
2021-10-26|09:00:00,169.80,169.85,169.40,169.60,169.60,15884.00
2021-10-26|10:00:00,169.40,169.99,169.05,169.35,169.35,12833.00
2021-10-26|11:00:00,169.35,169.99,169.30,169.60,169.60,23811.00
2021-10-27|08:00:00,168.59,169.04,167.23,167.23,167.23,49425.00
2021-10-27|09:00:00,167.21,167.21,166.78,167.15,167.15,21347.00
2021-10-27|10:00:00,167.25,167.49,167.00,167.19,167.19,10449.00
2021-10-27|11:00:00,167.14,167.16,166.91,166.98,166.98,25223.00
2021-10-27|12:00:00,166.98,167.60,166.98,167.49,167.49,65198.00
2021-10-27|01:00:00,167.46,172.45,167.24,171.04,171.04,2521610.00
2021-10-27|02:00:00,171.09,171.29,169.57,169.84,169.84,1825283.00
2021-10-27|03:00:00,169.86,170.69,167.91,168.71,168.71,1990229.00
2021-10-27|04:00:00,168.70,169.37,168.47,168.77,168.77,1288166.00
2021-10-27|05:00:00,168.76,169.67,168.76,169.55,169.55,1013772.00
