Date,Open,High,Low,Close,Adjusted_close,Volume
2021-10-06|04:00:00,1552.04,1554.20,1544.22,1547.21,1547.21,32062.00
2021-10-06|05:00:00,1547.75,1550.29,1541.37,1544.09,1544.09,40346.00
2021-10-06|06:00:00,1546.17,1550.10,1541.01,1543.11,1543.11,45887.00
2021-10-06|07:00:00,1543.02,1550.21,1535.69,1547.13,1547.13,103998.00
2021-10-06|08:00:00,1548.57,1548.57,1548.57,1548.57,1548.57,19119.00
2021-10-06|09:00:00,1548.57,1548.57,1548.57,1548.57,1548.57,1559.00
2021-10-07|11:00:00,1570.01,1570.01,1570.01,1570.01,1570.01,408.00
2021-10-07|01:00:00,1574.93,1580.00,1544.11,1554.31,1554.31,72656.00
2021-10-07|02:00:00,1555.87,1579.65,1550.98,1567.00,1567.00,98706.00
2021-10-07|03:00:00,1566.22,1573.81,1559.29,1573.01,1573.01,31473.00
2021-10-07|04:00:00,1572.45,1580.65,1565.24,1575.12,1575.12,52234.00
2021-10-07|05:00:00,1575.11,1577.03,1569.23,1572.88,1572.88,34568.00
2021-10-07|06:00:00,1573.91,1573.91,1560.00,1562.46,1562.46,36829.00
2021-10-07|07:00:00,1561.41,1561.71,1547.23,1552.66,1552.66,95927.00
2021-10-07|08:00:00,1554.04,1554.23,1554.04,1554.04,1554.04,46479.00
2021-10-08|08:00:00,1555.00,1555.00,1555.00,1555.00,1555.00,100.00
2021-10-08|12:00:00,1565.00,1565.00,1565.00,1565.00,1565.00,401.00
2021-10-08|01:00:00,1570.00,1570.00,1546.62,1550.07,1550.07,44657.00
2021-10-08|02:00:00,1549.55,1571.46,1537.43,1548.75,1548.75,50284.00
2021-10-08|03:00:00,1548.79,1555.04,1530.99,1532.62,1532.62,36896.00
2021-10-08|04:00:00,1532.69,1539.40,1527.83,1533.87,1533.87,28884.00
2021-10-08|05:00:00,1534.13,1534.13,1517.80,1524.30,1524.30,39641.00
2021-10-08|06:00:00,1523.78,1525.60,1519.49,1525.48,1525.48,26207.00
2021-10-08|07:00:00,1524.60,1527.00,1505.10,1507.75,1507.75,154716.00
2021-10-08|08:00:00,1511.19,1526.81,1511.19,1511.19,1511.19,19750.00
2021-10-11|01:00:00,1500.23,1506.36,1487.01,1500.88,1500.88,50231.00
2021-10-11|02:00:00,1500.16,1504.13,1487.11,1487.53,1487.53,69684.00
2021-10-11|03:00:00,1488.63,1493.80,1484.16,1491.69,1491.69,50526.00
2021-10-11|04:00:00,1489.99,1495.38,1489.01,1492.38,1492.38,29280.00
2021-10-11|05:00:00,1491.45,1491.71,1476.90,1478.71,1478.71,40565.00
2021-10-11|06:00:00,1478.14,1481.56,1470.49,1472.85,1472.85,58831.00
2021-10-11|07:00:00,1473.09,1473.24,1452.39,1458.86,1458.86,133390.00
2021-10-11|08:00:00,1459.32,1459.32,1459.32,1459.32,1459.32,19082.00
2021-10-12|01:00:00,1472.99,1488.99,1461.74,1469.50,1469.50,37337.00
2021-10-12|02:00:00,1465.59,1478.00,1460.00,1468.23,1468.23,49195.00
2021-10-12|03:00:00,1473.50,1481.95,1467.75,1480.94,1480.94,25963.00
2021-10-12|04:00:00,1481.41,1482.33,1473.25,1474.49,1474.49,28542.00
2021-10-12|05:00:00,1471.19,1475.04,1467.57,1475.04,1475.04,22147.00
2021-10-12|06:00:00,1473.01,1476.71,1470.64,1472.87,1472.87,27078.00
2021-10-12|07:00:00,1471.71,1471.71,1454.74,1462.40,1462.40,84315.00
2021-10-12|08:00:00,1461.25,1461.25,1461.25,1461.25,1461.25,17237.00
2021-10-13|01:00:00,1478.00,1488.50,1471.77,1478.96,1478.96,41387.00
2021-10-13|02:00:00,1477.66,1504.97,1472.57,1503.79,1503.79,76623.00
2021-10-13|03:00:00,1504.02,1515.31,1490.64,1502.60,1502.60,61678.00
