Date,Open,High,Low,Close,Adjusted_close,Volume
2021-10-01|04:00:00,102.03,102.17,101.27,101.43,101.43,4347410.00
2021-10-01|05:00:00,101.44,102.02,101.31,101.74,101.74,3274245.00
2021-10-01|06:00:00,101.75,102.52,101.75,102.35,102.35,3851763.00
2021-10-01|07:00:00,102.36,102.73,102.32,102.43,102.43,5714430.00
2021-10-01|08:00:00,102.43,102.65,102.40,102.55,102.55,3934253.00
2021-10-01|09:00:00,102.60,102.67,102.55,102.58,102.58,23949.00
2021-10-01|10:00:00,102.57,102.60,102.55,102.60,102.60,8323.00
2021-10-01|11:00:00,102.60,102.60,102.45,102.51,102.51,10040.00
2021-10-04|08:00:00,101.95,101.95,101.31,101.61,101.61,5617.00
2021-10-04|09:00:00,101.65,102.11,101.65,101.98,101.98,2415.00
2021-10-04|10:00:00,101.75,101.75,101.64,101.75,101.75,1952.00
2021-10-04|11:00:00,101.86,102.00,101.60,101.70,101.70,39741.00
2021-10-04|12:00:00,101.70,101.99,101.60,101.99,101.99,51128.00
2021-10-04|01:00:00,101.99,102.00,99.82,100.52,100.52,6714614.00
2021-10-04|02:00:00,100.50,101.20,100.11,100.67,100.67,8934092.00
2021-10-04|03:00:00,100.63,101.07,100.11,100.56,100.56,5642571.00
2021-10-04|04:00:00,100.56,100.84,99.99,100.10,100.10,3760002.00
2021-10-04|05:00:00,100.10,100.50,99.95,99.98,99.98,3792170.00
2021-10-04|06:00:00,99.98,100.43,99.88,100.23,100.23,3916187.00
2021-10-04|07:00:00,100.24,100.66,99.83,100.35,100.35,7168925.00
2021-10-04|08:00:00,100.35,102.45,100.22,100.34,100.34,1634668.00
2021-10-04|09:00:00,100.36,100.42,100.15,100.34,100.34,17534.00
2021-10-04|10:00:00,100.39,100.55,100.38,100.51,100.51,26578.00
2021-10-04|11:00:00,100.53,100.56,100.25,100.36,100.36,14787.00
2021-10-05|08:00:00,100.63,100.95,100.44,100.95,100.95,4523.00
2021-10-05|09:00:00,100.93,101.11,100.93,100.98,100.98,3764.00
2021-10-05|10:00:00,100.77,100.77,100.65,100.65,100.65,7698.00
2021-10-05|11:00:00,100.67,100.90,100.61,100.80,100.80,32954.00
2021-10-05|12:00:00,100.80,101.00,100.70,100.74,100.74,77759.00
2021-10-05|01:00:00,100.74,101.44,100.60,101.02,101.02,6181125.00
2021-10-05|02:00:00,101.00,102.03,100.90,101.92,101.92,6528143.00
2021-10-05|03:00:00,101.92,102.32,101.75,102.32,102.32,4369519.00
2021-10-05|04:00:00,102.32,102.87,102.23,102.70,102.70,4246932.00
2021-10-05|05:00:00,102.70,102.77,102.34,102.49,102.49,2724099.00
2021-10-05|06:00:00,102.48,102.65,102.30,102.49,102.49,2051135.00
2021-10-05|07:00:00,102.50,102.58,101.76,101.81,101.81,3556995.00
2021-10-05|08:00:00,101.81,101.85,101.70,101.77,101.77,1287173.00
2021-10-05|09:00:00,101.78,101.78,101.72,101.77,101.77,10187.00
2021-10-05|10:00:00,101.80,101.88,101.79,101.83,101.83,16009.00
2021-10-05|11:00:00,101.83,101.85,101.58,101.60,101.60,17340.00
2021-10-06|08:00:00,100.51,100.67,100.20,100.45,100.45,7305.00
2021-10-06|09:00:00,100.22,100.22,99.81,100.03,100.03,16107.00
2021-10-06|10:00:00,99.94,100.32,99.90,100.16,100.16,29512.00
2021-10-06|11:00:00,100.16,100.51,100.10,100.40,100.40,80751.00
2021-10-06|12:00:00,100.41,101.84,100.32,101.84,101.84,153594.00
2021-10-06|01:00:00,100.52,102.35,100.35,101.14,101.14,5851184.00
2021-10-06|02:00:00,101.13,102.19,100.68,101.63,101.63,7921524.00
2021-10-06|03:00:00,101.62,102.66,101.08,102.63,102.63,5730022.00
2021-10-06|04:00:00,102.62,102.70,101.77,101.96,101.96,4118623.00
2021-10-06|05:00:00,101.99,102.90,101.67,102.58,102.58,3739920.00
2021-10-06|06:00:00,102.58,103.17,102.46,102.80,102.80,3936459.00
2021-10-06|07:00:00,102.80,103.72,102.73,103.67,103.67,5794882.00
2021-10-06|08:00:00,103.67,103.93,103.54,103.93,103.93,1235067.00
2021-10-06|09:00:00,103.93,103.93,103.64,103.84,103.84,64737.00
2021-10-06|10:00:00,103.84,104.44,103.84,104.30,104.30,49497.00
2021-10-06|11:00:00,104.30,104.37,104.07,104.07,104.07,29128.00
2021-10-07|08:00:00,104.45,105.00,104.45,104.93,104.93,13078.00
2021-10-07|09:00:00,104.95,104.96,104.95,104.96,104.96,2413.00
2021-10-07|10:00:00,104.90,104.97,104.63,104.70,104.70,11947.00
2021-10-07|11:00:00,104.75,105.41,104.75,104.96,104.96,107369.00
2021-10-07|12:00:00,104.96,105.48,104.96,105.12,105.12,93698.00
2021-10-07|01:00:00,105.12,106.16,104.46,106.15,106.15,7433498.00
2021-10-07|02:00:00,106.14,107.04,106.11,106.97,106.97,8147518.00
2021-10-07|03:00:00,106.97,107.95,106.78,107.84,107.84,6717707.00
2021-10-07|04:00:00,107.84,107.94,107.24,107.48,107.48,4777114.00
2021-10-07|05:00:00,107.48,107.69,107.24,107.51,107.51,2834754.00
2021-10-07|06:00:00,107.50,107.59,106.55,106.72,106.72,4736686.00
2021-10-07|07:00:00,106.71,107.00,106.36,106.45,106.45,5069193.00
2021-10-07|08:00:00,106.45,106.57,106.26,106.28,106.28,1398322.00
2021-10-07|09:00:00,106.33,106.45,106.15,106.27,106.27,55763.00
2021-10-07|10:00:00,106.26,106.39,106.26,106.38,106.38,10099.00
2021-10-07|11:00:00,106.33,106.65,106.32,106.60,106.60,13459.00
2021-10-08|08:00:00,106.58,106.58,106.04,106.15,106.15,3531.00
2021-10-08|09:00:00,106.07,106.24,106.07,106.24,106.24,1428.00
2021-10-08|10:00:00,106.39,106.39,106.39,106.39,106.39,2207.00
