NET  | date:2021-11-2 | PR:445.7  | DF:186.4$->187.6$(1.1$)/(185.7$-212.5$)       | 0.6%   | NET 
NET  | date:2021-11-2 | PR:3410.4 | DF:186.4$->212.3$(25.8$)/(185.7$-212.5$)      | 13.9%  | NET 
NET  | date:2021-11-2 | PR:7486.6 | DF:186.4$->225.5$(39.1$)/(185.7$-212.5$)      | 20.9%  | NET 

MA   | date:2021-11-2 | PR:290.1  | DF:321.3$->324.8$(3.5$)/(319.8$-341.5$)       | 1.1%   | MA  
MA   | date:2021-11-2 | PR:233.5  | DF:321.3$->349.4$(28.1$)/(319.8$-341.5$)      | 8.7%   | MA  
MA   | date:2021-11-2 | PR:230.7  | DF:321.3$->353.7$(32.4$)/(319.8$-341.5$)      | 10.1%  | MA  

SE   | date:2021-11-2 | PR:1432.9 | DF:299.1$->309.4$(10.3$)/(291.0$-312.8$)      | 3.4%   | SE  
SE   | date:2021-11-2 | PR:2160.8 | DF:299.1$->310.9$(11.7$)/(291.0$-312.8$)      | 3.9%   | SE  
SE   | date:2021-11-2 | PR:4264.1 | DF:299.1$->312.6$(13.4$)/(291.0$-312.8$)      | 4.5%   | SE  

FTNT | date:2021-11-2 | PR:656.4  | DF:330.8$->337.2$(6.4$)/(325.3$-344.3$)       | 1.9%   | FTNT
FTNT | date:2021-11-2 | PR:825.9  | DF:330.8$->342.8$(12.0$)/(325.3$-344.3$)      | 3.6%   | FTNT
FTNT | date:2021-11-2 | PR:1154.1 | DF:330.8$->340.1$(9.3$)/(325.3$-344.3$)       | 2.8%   | FTNT

BABA | date:2021-11-2 | PR:343.3  | DF:136.6$->137.2$(0.6$)/(135.2$-140.7$)       | 0.4%   | BABA
BABA | date:2021-11-2 | PR:239.0  | DF:136.6$->139.9$(3.3$)/(135.2$-140.7$)       | 2.4%   | BABA
BABA | date:2021-11-2 | PR:224.8  | DF:136.6$->144.2$(7.6$)/(135.2$-140.7$)       | 5.6%   | BABA

AMD  | date:2021-11-2 | PR:807.8  | DF:152.5$->155.3$(2.8$)/(152.4$-161.9$)       | 1.8%   | AMD 
AMD  | date:2021-11-2 | PR:1209.3 | DF:152.5$->153.5$(1.0$)/(152.4$-161.9$)       | 0.6%   | AMD 
AMD  | date:2021-11-2 | PR:1869.9 | DF:152.5$->156.5$(4.0$)/(152.4$-161.9$)       | 2.6%   | AMD 

AMZN | date:2021-11-2 | PR:326.6  | DF:3572.6$->3589.1$(16.5$)/(3567.5$-3712.6$)  | 0.5%   | AMZN
AMZN | date:2021-11-2 | PR:238.8  | DF:3572.6$->3651.6$(79.1$)/(3567.5$-3712.6$)  | 2.2%   | AMZN
AMZN | date:2021-11-2 | PR:259.1  | DF:3572.6$->3611.8$(39.2$)/(3567.5$-3712.6$)  | 1.1%   | AMZN

SQ   | date:2021-11-2 | PR:193.4  | DF:211.3$->204.8$(-6.5$)/(205.3$-224.5$)      | -3.1%  | SQ  
SQ   | date:2021-11-2 | PR:642.2  | DF:211.3$->219.4$(8.1$)/(205.3$-224.5$)       | 3.8%   | SQ  
SQ   | date:2021-11-2 | PR:784.4  | DF:211.3$->234.8$(23.5$)/(205.3$-224.5$)      | 11.1%  | SQ  

DIA  | date:2021-11-2 | PR:163.1  | DF:356.2$->357.1$(0.9$)/(356.1$-359.2$)       | 0.3%   | DIA 
DIA  | date:2021-11-2 | PR:105.3  | DF:356.2$->358.6$(2.4$)/(356.1$-359.2$)       | 0.7%   | DIA 
